sample_id_int,cell_id,Area,CD3_Mean,CD8_Mean,CD19_Mean,CD68_Mean,CK_Mean,CD3 (Opal 540) Mean,CD8 (Opal 650) Mean,CD19 (Opal 480) Mean,CD68 (Opal 520) Mean,CK (Opal 780) Mean,IER3 (Opal 620) Mean, pStat3 (Opal 570) Mean, Ki67 (Opal 690) Mean, Dapi (DAPI) Mean,tsne_1,tsne_2,cell_type_inform_int,cell_type_manual_int,cell_type_auto_int,cell_type_FlowSOM_QC
3,429,484,0,0,5.23E-06,0,0.033,0.154,0.257,0,0.597,0.217,0.098,0.082,2.112,6.883,-20.204132,4.0221825,5,6,6,6
3,474,304,0,0,5.82E-05,0,0.024,0.105,0.161,0.003,0.453,0.166,0.077,0.061,0.187,6.443,-33.62105,17.31995,5,6,6,6
3,492,355,0,0,3.29E-05,0,0.055,0.224,0.264,0,0.428,0.202,0.122,0.09,1.931,8.485,-39.60578,9.848862,5,6,6,6
3,537,397,0,0,4.40E-05,0,0.027,0.184,0.269,0,0.45,0.185,0.102,0.11,2.509,10.031,-40.421196,10.235006,5,6,6,6
3,671,208,0,0,2.43E-05,0,0.063,0.158,0.182,0,0.604,0.281,0.083,0.093,0.07,2.822,-27.562996,-8.26325,5,6,6,6
3,808,369,0,0,0.0001233,0,0.068,0.322,0.178,0.002,0.436,0.197,0.12,0.591,0.101,10.509,-35.012547,9.463966,5,6,6,6
3,824,192,0,0,0.0002001,0,0.01,0.23,0.331,0.001,0.504,0.171,0.124,0.133,4.632,10.373,-20.985699,25.190535,5,6,6,6
3,825,485,0,0,0.0002197,0,0.075,0.186,0.271,0.001,0.548,0.223,0.09,0.121,3.622,7.971,-32.25791,1.471712,5,6,6,6
3,883,99,0,0,0,0,0.041,0.335,0.252,0,0.404,0.213,0.139,0.227,0.082,10.085,-35.54028,9.228535,5,6,6,6
3,909,334,0,0,4.39E-05,0,0.006,0.343,0.193,0,0.356,0.165,0.157,0.284,0.108,11.624,-28.878786,27.985142,5,6,6,6
3,947,281,0,0,0,0,0,0.306,0.227,0,0.341,0.128,0.115,0.299,0.11,11.065,-28.935488,28.670006,5,6,6,6
3,970,156,0,0,0,0,4.05E-06,0.362,0.253,0.001,0.349,0.145,0.13,0.39,0.153,11.975,-28.202587,28.636791,5,6,6,6
3,971,201,0,0,1.26E-05,0,3.78E-05,0.391,0.207,0,0.379,0.144,0.142,0.219,0.11,10.279,-27.686113,28.196165,5,6,6,6
3,976,323,0,0,0,0,0.047,0.304,0.232,0,0.474,0.228,0.142,0.185,0.106,10.679,-34.658264,6.527361,5,6,6,6
3,990,175,0,0,0.0001924,0,0.08,0.139,0.183,0,0.499,0.256,0.09,0.051,0.097,3.012,-47.31621,1.0776654,5,6,6,6
3,1009,393,0,0,9.91E-05,0,0.065,0.191,0.256,0.001,0.505,0.242,0.102,0.06,0.564,7.497,-35.990585,1.5918089,5,6,6,6
3,1021,512,0,0,7.37E-05,0,0.093,0.151,0.171,0,0.486,0.2,0.085,0.051,0.061,3.445,-43.86167,7.481193,5,6,5,6
3,1116,89,0,0,0,0,3.42E-05,0.329,0.259,0,0.324,0.154,0.111,0.179,1.773,12.979,-28.612171,28.931593,5,6,6,6
3,1137,190,0,0,0,0,0.029,0.276,0.256,0,0.325,0.176,0.102,0.174,1.356,11.591,-29.24558,29.149366,5,6,6,6
3,1138,74,0,0,0.0003064,0,0.052,0.356,0.231,0,0.542,0.229,0.148,0.618,0.109,6.299,-33.74558,6.229178,5,6,6,6
3,1139,630,0,0,4.01E-06,0,0.077,0.289,0.301,0,0.496,0.195,0.139,0.134,1.549,11.909,-23.087656,26.426043,5,6,6,6
3,1144,91,0,0,0,0,0,0.262,0.302,0,0.304,0.113,0.107,0.166,2.015,12.189,-32.545956,36.401463,5,6,6,6
3,1169,290,0,0,0,0,0.068,0.263,0.307,0,0.474,0.177,0.116,0.1,1.455,13.199,-23.195808,26.359015,5,6,6,6
3,1171,228,0,0,0.0002628,0,0.069,0.298,0.22,0,0.593,0.253,0.136,0.135,0.074,3.488,-18.085503,-15.557252,5,6,6,6
