original,Gaussian_blur_2.0,Gaussian_blur_4.0,Entropy_2_64,Entropy_2_128,Entropy_2_256,class
0,0.010825,0.098446,0.453716,0.453716,0.453716,'class 2'
0,0.069347,0.164082,0.591673,0.591673,0.591673,'class 2'
0,0.084306,0.193396,0.791858,0.791858,0.791858,'class 2'
0,0.057948,0.111373,0.453716,0.453716,0.453716,'class 2'
0,0.176674,0.180056,0.702467,0.702467,0.702467,'class 2'
0,0.234372,0.223761,0.791858,0.791858,0.791858,'class 2'
0,0.18744,0.220399,0.791858,0.791858,0.791858,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0.000001,0,0,0,'class 2'
0,0,0.000007,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0.000005,0,0,0,'class 2'
0,0,0.000042,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0.000002,0,0,0,'class 2'
0,0,0.000019,0,0,0,'class 2'
